PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14
1,21629,437480,773603,386529,498650,326562,345593,127266,3734.7,-1488.746153846154,1121.21,-1147.2533333333333,190.31,-2183.27
1,22945,426013,745950,387821,488048,330147,370232,129535,3554.8555555555554,-1377.4192307692308,1002.27,-1052.6733333333334,400.85,-2406.97
1,25697,443699,711982,335699,375938,275218,352303,129525,2980.9222222222224,-1447.2423076923078,402.39,-671.4666666666667,770.85,-2227.78
1,23145,426871,729455,370211,482642,338678,371290,131584,3362.0444444444443,-1381.7076923076922,1124.31,-959.76,326.12,-2397.06
1,20921,436689,748518,373050,489617,312237,311793,128481,3464.766666666667,-1444.1076923076923,1165.67,-1182.5333333333333,-4.44,-1833.12
1,20762,433564,736866,367685,484067,313808,310520,127776,3370.0222222222224,-1419.926923076923,1163.82,-1135.06,-32.88,-1827.44
6,31944,538623,892952,410785,500494,334701,368669,160667,3936.988888888889,-1854.4884615384615,897.09,-1105.2866666666666,339.68,-2080.02
6,31871,539278,892158,410135,499354,333604,367334,160316,3920.8888888888887,-1853.9346153846154,892.19,-1105.0,337.3,-2070.18
6,32109,540156,892069,409711,498624,333117,366607,159684,3910.1444444444446,-1855.2230769230769,889.13,-1103.38,334.9,-2069.23
6,32679,543170,895200,414092,502230,334585,367663,161056,3911.4444444444443,-1850.4153846153847,881.38,-1117.6333333333334,330.78,-2066.07
6,32086,549715,896470,404959,495510,336115,374671,160128,3852.8333333333335,-1890.426923076923,905.51,-1062.6333333333334,385.56,-2145.43
6,32580,549028,894520,404677,494090,333413,371429,159124,3838.8,-1884.0115384615385,894.13,-1071.18,380.16,-2123.05
6,29272,492472,816156,382046,465054,302631,332915,145026,3596.488888888889,-1669.6538461538462,830.08,-1082.82,302.84,-1878.89
6,29023,492302,814820,381455,464162,301451,331635,144816,3583.5333333333333,-1666.7884615384614,827.07,-1084.74,301.84,-1868.19
6,30194,508576,838232,395821,485899,317656,345206,152751,3662.8444444444444,-1701.5807692307692,900.78,-1121.62,275.5,-1924.55
6,28357,473388,779656,364223,449945,301175,336218,142620,3402.9777777777776,-1597.8192307692307,857.22,-991.8,350.43,-1935.98
